,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Philippinen,Philippinen,LOC,-0.13971341,0.09041283,de,97.70000000,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
Jamaika,Jamaika,LOC,-0.17241379,0.11296076,de,84.10000000,127193-3,3489940,A,18.16667000,-77.25000000,CENTRAL-AMERICA,Jamaica,CAR
Deutschland,Deutschland,LOC,-0.04442149,0.13429752,de,48.40000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Vietnam,Vietnam,LOC,-0.03431373,0.00000000,de,40.80000000,4063514-4,1562822,A,16.16667000,107.83333000,ASIA,Vietnam,SEA
Kuba,Kuba,LOC,-0.05052083,0.00000000,de,32.00000000,4033340-1,3562981,A,22.00000000,-79.50000000,CENTRAL-AMERICA,Cuba,CAR
Karibik,Karibik,LOC,-0.10942761,0.10101010,de,29.70000000,4073241-1,7729891,L,20.38583000,-72.33398000,CENTRAL-AMERICA,,CAR
Portugal,Portugal,LOC,-0.05957447,0.00000000,de,23.50000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
Brasiliens,Brasiliens,LOC,-0.43262411,0.12056738,de,23.50000000,,0,,,,,,
Südostasien,Südostasien,LOC,-0.15981735,0.04566210,de,21.90000000,4058448-3,7729896,L,6.83917000,116.45508000,ASIA,,SEA
Frankreich,Frankreich,LOC,0.08684211,0.05263158,de,19.00000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Baden-Württemberg,Baden-Württemberg,LOC,-0.24074074,0.30864198,de,18.90000000,4004176-1,2953481,A,48.50000000,9.00000000,EUROPE,Germany,WCE
USA,USA,LOC,-0.34224599,0.05347594,de,18.70000000,4078704-7,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Kalifornien,Kalifornien,LOC,-0.30617978,0.30898876,de,17.80000000,4029307-5,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Taiwan,Taiwan,LOC,0.07865169,0.00000000,de,17.80000000,4017875-4,1668284,A,24.00000000,121.00000000,ASIA,Taiwan,EAS
Sturm,Sturm,LOC,-0.12952381,0.07619048,de,17.50000000,,6626207,T,-71.05000000,162.96667000,POLAR,Antarctica,EAN
Spanien,Spanien,LOC,-0.15189873,0.00000000,de,15.80000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Rio Bonito do Iguaçu,Rio Bonito do Iguaçu,LOC,-0.09313725,0.09803922,de,13.60000000,,6322957,A,-25.54822000,-52.62154000,SOUTH-AMERICA,Brazil,SES
Karibikinsel,Karibikinsel,LOC,-0.05833333,0.16666667,de,12.00000000,,0,,,,,,
Brasilien,Brasilien,LOC,-0.08403361,0.00000000,de,11.90000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Albufeira,Albufeira,LOC,0.39316239,0.00000000,de,11.70000000,4126599-3,8010512,A,37.08341000,-8.26139000,EUROPE-AFRICA,Portugal,MED
Portugals,Portugals,LOC,0.49122807,0.08771930,de,11.40000000,,964394,H,-32.35000000,21.01667000,AFRICA,South Africa,WSAF
Haiti,Haiti,LOC,-0.02878788,0.00000000,de,11.00000000,4022974-9,3723988,A,19.07582000,-72.29616000,CENTRAL-AMERICA,Haiti,CAR
Orkanböen,Orkanböen,LOC,-0.42718447,0.00000000,de,10.30000000,,0,,,,,,
Behördenangaben,Behördenangaben,LOC,-0.82516340,0.13071895,de,10.20000000,,0,,,,,,
Stadt,Stadt,LOC,-0.15000000,0.03333333,de,10.00000000,,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Bahamas,Bahamas,LOC,-0.42000000,0.10000000,de,10.00000000,502239-3,3572887,A,25.04082000,-77.37122000,NORTH-AMERICA,Bahamas,ENA
Böen,Böen,LOC,-0.05555556,0.00000000,de,9.90000000,,3160910,P,59.75000000,8.78333000,EUROPE,Norway,NEU
Ibiza,Ibiza,LOC,-0.05670103,0.00000000,de,9.70000000,4026432-4,6299339,S,38.87286000,1.37312000,EUROPE-AFRICA,Spain,MED
Paris,Paris,LOC,0.00000000,0.00000000,de,9.70000000,4044660-8,2988507,P,48.85341000,2.34880000,EUROPE,France,WCE
…,…,LOC,0.10526316,0.00000000,de,9.50000000,,0,,,,,,
den USA,den USA,LOC,-0.31111111,0.08888889,de,9.00000000,4011446-6,2747373,P,52.07667000,4.29861000,EUROPE,The Netherlands,NEU
Bäume,Bäume,LOC,-0.64772727,0.00000000,de,8.80000000,,0,,,,,,
Deutschlands,Deutschlands,LOC,-0.70114943,0.00000000,de,8.70000000,,0,,,,,,
Wirbelsturm,Wirbelsturm,LOC,-0.06589147,0.15503876,de,8.60000000,,0,,,,,,
NRW,NRW,LOC,-0.52380952,0.00000000,de,8.40000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
Bayern,Bayern,LOC,0.00000000,0.00000000,de,8.30000000,4005044-0,2951839,A,49.00000000,11.50000000,EUROPE,Germany,WCE
Glatteis,Glatteis,LOC,-0.04320988,0.55555556,de,8.10000000,,0,,,,,,
Schneeverwehungen,Schneeverwehungen,LOC,-0.04320988,0.55555556,de,8.10000000,,0,,,,,,
Sturmböen,Sturmböen,LOC,0.00000000,0.00000000,de,7.90000000,,0,,,,,,
Asien,Asien,LOC,-0.11486486,0.13513514,de,7.40000000,4003217-6,6255147,L,29.84064000,89.29688000,ASIA,China,TIB
Iran,Iran,LOC,0.13513514,0.00000000,de,7.40000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Gronau,Gronau,LOC,0.31506849,0.00000000,de,7.30000000,,3423637,T,69.41667000,-30.08333000,POLAR,Greenland,GIC
Oklahoma,Oklahoma,LOC,0.09589041,0.00000000,de,7.30000000,4043423-0,4544349,P,35.46756000,-97.51643000,NORTH-AMERICA,United States,CNA
Bermuda,Bermuda,LOC,-0.20000000,0.00000000,de,7.00000000,4005759-8,3573345,A,32.33022000,-64.74003000,ATLANTIC,Bermuda,NAO
Tornados,Tornados,LOC,-0.63281250,0.07812500,de,6.40000000,,0,,,,,,
Nordseeküste,Nordseeküste,LOC,-0.28333333,0.00000000,de,6.00000000,4075482-0,12076810,L,53.83568000,8.11677000,EUROPE,Germany,NEU
Notunterkünften,Notunterkünften,LOC,0.00000000,0.00000000,de,6.00000000,,0,,,,,,
Feldberg,Feldberg,LOC,-0.05833333,0.41666667,de,6.00000000,,2927445,T,47.87399000,8.00371000,EUROPE,Germany,WCE
Bualoi,Bualoi,LOC,0.00000000,0.00000000,de,6.00000000,,9028703,S,14.41350000,100.83886000,ASIA,Thailand,SEA
China,China,LOC,-0.23333333,0.00000000,de,6.00000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Formentera,Formentera,LOC,-0.09322034,0.00000000,de,5.90000000,4017869-9,2517690,T,38.69467000,1.46919000,EUROPE-AFRICA,Spain,MED
Rheinland-Pfalz,Rheinland-Pfalz,LOC,0.12280702,0.00000000,de,5.70000000,4049795-1,2847618,A,49.66667000,7.50000000,EUROPE,Germany,WCE
Krim,Krim,LOC,0.00000000,0.00000000,de,5.50000000,5280853-1,703883,A,45.00000000,34.00000000,EUROPE,Ukraine,WCE
Hamburg,Hamburg,LOC,0.00000000,0.00000000,de,5.50000000,4239189-1,2911298,P,53.55073000,9.99302000,EUROPE,Germany,NEU
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,-0.02777778,0.00000000,de,5.40000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
Harz,Harz,LOC,-0.20000000,0.00000000,de,5.00000000,4023568-3,2909965,T,51.75619000,10.63462000,EUROPE,Germany,WCE
Nordsee,Nordsee,LOC,0.22000000,0.00000000,de,5.00000000,4042579-4,2960848,H,55.33333000,3.00000000,EUROPE,,NEU
Flensburg,Flensburg,LOC,-0.14000000,0.00000000,de,5.00000000,4017506-6,2926271,P,54.78805000,9.43722000,EUROPE,Germany,NEU
Indiens,Indiens,LOC,0.00000000,0.00000000,de,5.00000000,,6012211,H,48.85944000,-74.48361000,NORTH-AMERICA,Canada,ENA
Ukraine,Ukraine,LOC,0.00000000,0.00000000,de,4.70000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Saarland,Saarland,LOC,0.29787234,0.00000000,de,4.70000000,4076919-7,2842635,A,49.40472000,6.96083000,EUROPE,Germany,WCE
US-Außengebiet,US-Außengebiet,LOC,-0.10869565,0.10869565,de,4.60000000,,0,,,,,,
Landes,Landes,LOC,-0.40217391,0.00000000,de,4.60000000,,3007868,L,44.25000000,-1.00000000,EUROPE-AFRICA,France,MED
Sinlaku,Sinlaku,LOC,-0.30434783,0.00000000,de,4.60000000,,0,,,,,,
Hamburger Flughafen,Hamburger Flughafen,LOC,0.10869565,0.00000000,de,4.60000000,,0,,,,,,
Mallorca,Mallorca,LOC,-0.21739130,0.00000000,de,4.60000000,4115833-7,2512989,P,39.56939000,2.65024000,EUROPE-AFRICA,Spain,MED
Starkregen,Starkregen,LOC,-0.44444444,0.00000000,de,4.50000000,,0,,,,,,
Westpazifik,Westpazifik,LOC,-0.31818182,0.00000000,de,4.40000000,,0,,,,,,
Schweden,Schweden,LOC,-0.16279070,0.23255814,de,4.30000000,4077258-5,2661886,A,62.00000000,15.00000000,EUROPE,Sweden,NEU
Europa,Europa,LOC,-0.03571429,0.19047619,de,4.20000000,4015701-5,6255148,L,48.69096000,9.14062000,EUROPE,Germany,WCE
Südwestfrankreich,Südwestfrankreich,LOC,-0.16666667,0.00000000,de,4.20000000,,0,,,,,,
Uttar Pradesh,Uttar Pradesh,LOC,-0.59523810,0.00000000,de,4.20000000,4062226-5,1253626,A,27.25000000,80.75000000,ASIA,India,SAS
Mount Everest,Mount Everest,LOC,-0.60000000,0.00000000,de,4.00000000,4040417-1,1283416,T,27.98791000,86.92529000,ASIA,China,TIB
Toten,Toten,LOC,-0.70000000,0.00000000,de,4.00000000,4843549-1,3143158,A,60.67659000,10.81997000,EUROPE,Norway,NEU
Atlantik,Atlantik,LOC,-0.48717949,0.12820513,de,3.90000000,4003388-0,2395914,P,6.44852000,2.35566000,AFRICA,Benin,WAF
Staaten,Staaten,LOC,0.03846154,0.00000000,de,3.90000000,4078704-7,6252001,A,39.76000000,-98.50000000,NORTH-AMERICA,United States,CNA
Überschwemmungen,Überschwemmungen,LOC,0.42982456,0.00000000,de,3.80000000,,0,,,,,,
Thailand,Thailand,LOC,0.36842105,0.00000000,de,3.80000000,4078228-1,1605651,A,15.50000000,101.00000000,ASIA,Thailand,SEA
Hurrikan-Katastrophe,Hurrikan-Katastrophe,LOC,0.00000000,0.26315789,de,3.80000000,,0,,,,,,
Windböen,Windböen,LOC,0.00000000,0.00000000,de,3.80000000,,0,,,,,,
d…,d…,LOC,0.00000000,0.00000000,de,3.70000000,,0,,,,,,
"Sturmtief ""Elli","Sturmtief ""Elli",LOC,-0.09459459,0.94594595,de,3.70000000,,0,,,,,,
Enid,Enid,LOC,-0.18918919,0.00000000,de,3.70000000,,4535961,P,36.39559000,-97.87839000,NORTH-AMERICA,United States,CNA
Algarve,Algarve,LOC,-0.18918919,0.00000000,de,3.70000000,4001155-0,10227214,L,37.08367000,-8.24902000,EUROPE-AFRICA,Portugal,MED
Nördlichen Marianen,Nördlichen Marianen,LOC,-0.18918919,0.00000000,de,3.70000000,,0,,,,,,
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,-1.02777778,0.00000000,de,3.60000000,4242861-0,2872567,A,53.83333000,12.50000000,EUROPE,Germany,WCE
US-Bundesstaat Kalifornien,US-Bundesstaat Kalifornien,LOC,-0.28571429,0.28571429,de,3.50000000,,0,,,,,,
Pazifik,Pazifik,LOC,-0.06862745,0.00000000,de,3.40000000,,0,,,,,,
Pakistan,Pakistan,LOC,0.00000000,0.00000000,de,3.40000000,4075812-6,1168579,A,30.00000000,70.00000000,ASIA,Pakistan,WCA
Unwetter,Unwetter,LOC,-0.50000000,0.29411765,de,3.40000000,,0,,,,,,
Stromausfall,Stromausfall,LOC,-0.61764706,0.00000000,de,3.40000000,,0,,,,,,
Kaliforniens,Kaliforniens,LOC,0.00000000,0.00000000,de,3.40000000,,0,,,,,,
