,phrase,label,sentiment,subjectivity,language,count
Super-Taifun,Super-Taifun,MISC,0.0,0.0,de,6
französischen,französischen,MISC,,,de,3
Tornado,Tornado,MISC,,,de,2
Ryder Cup,Ryder Cup,MISC,,,de,2
"Link
","Link
",MISC,,,de,2
europäischen Teams,europäischen Teams,MISC,,,de,1
Mini-Tornado“,Mini-Tornado“,MISC,,,de,1
Video,Video,MISC,,,de,1
Alice“,Alice“,MISC,,,de,1
chinesischen,chinesischen,MISC,,,de,1
“,“,MISC,,,de,1
Super-Taifun Ragasa,Super-Taifun Ragasa,MISC,,,de,1
Bualoi“,Bualoi“,MISC,,,de,1
philippinischen,philippinischen,MISC,,,de,1
Super-Taifun Ragasa,Super-Taifun Ragasa,MISC,,,de,1
…,…,MISC,0.0,0.0,de,1
Tempo 200,Tempo 200,MISC,,,de,1
Wirbelsturm üb...,Wirbelsturm üb...,MISC,,,de,1
