,phrase,label,sentiment,subjectivity,language,count
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.1361111111111111,0.08333333333333333,de,12
DWD,DWD,ORG,-0.09761904761904762,0.21428571428571427,de,7
Action!,Action!,ORG,0.0,0.0,de,4
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,-0.1111111111111111,0.0,de,3
ARD-Telenovela,ARD-Telenovela,ORG,-0.2333333333333333,0.0,de,3
WWE,WWE,ORG,0.0,0.6666666666666666,de,3
Nato,Nato,ORG,0.0,0.0,de,2
AEMET,AEMET,ORG,-0.27499999999999997,0.0,de,2
Outer Banks,Outer Banks,ORG,0.0,0.0,de,2
Toyota Brasil,Toyota Brasil,ORG,-1.0,0.0,de,2
Champion!,Champion!,ORG,0.0,0.0,de,2
Giganten!,Giganten!,ORG,0.0,0.0,de,2
Crown Jewel,Crown Jewel,ORG,0.0,0.5,de,2
EINE ZUTAT!,EINE ZUTAT!,ORG,0.11666666666666665,0.0,de,2
University of Michigan,University of Michigan,ORG,0.0,0.0,de,2
Reg…,Reg…,ORG,0.0,0.0,de,1
Nato-Manöver,Nato-Manöver,ORG,0.0,0.0,de,1
München,München,ORG,0.7,0.0,de,1
los!,los!,ORG,0.0,0.0,de,1
Wet…,Wet…,ORG,0.0,0.0,de,1
Rangers,Rangers,ORG,0.0,0.0,de,1
Rangers-Erzrivalen Celtic,Rangers-Erzrivalen Celtic,ORG,0.7,0.0,de,1
Deutsche…,Deutsche…,ORG,0.0,0.0,de,1
Deutschen Wetterdienst,Deutschen Wetterdienst,ORG,0.0,0.0,de,1
deutsche L…,deutsche L…,ORG,0.0,0.0,de,1
Celtic,Celtic,ORG,0.0,0.0,de,1
lrs,lrs,ORG,0.0,0.0,de,1
GEO,GEO,ORG,1.0,0.0,de,1
Pagas…,Pagas…,ORG,0.0,0.0,de,1
Bundeswehr,Bundeswehr,ORG,0.0,0.0,de,1
ZWIEBELN,ZWIEBELN,ORG,0.2333333333333333,0.0,de,1
dpa,dpa,ORG,0.0,0.0,de,1
Son…,Son…,ORG,0.0,0.0,de,1
Team Europa,Team Europa,ORG,0.0,0.0,de,1
USA,USA,ORG,0.0,0.0,de,1
Black …,Black …,ORG,0.0,0.0,de,1
Pe…,Pe…,ORG,0.0,0.0,de,1
Bayleys,Bayleys,ORG,1.0,0.0,de,1
U…,U…,ORG,0.0,0.0,de,1
BILD!,BILD!,ORG,1.0,0.0,de,1
junge Welt,junge Welt,ORG,0.0,0.0,de,1
Social Media,Social Media,ORG,0.0,0.0,de,1
National Park Service,National Park Service,ORG,0.0,0.0,de,1
hohen Welle,hohen Welle,ORG,0.0,0.0,de,1
Kelly Family,Kelly Family,ORG,0.0,0.0,de,1
HurrikanMelissa,HurrikanMelissa,ORG,1.0,0.0,de,1
